AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 97.7777777777778, DeathCount: 0.0, EscapeeCount: 19.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.00000000000001, DeathCount: 0.0, EscapeeCount: 20.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 97.77777777777779, DeathCount: 0.0, EscapeeCount: 20.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 97.77777777777779, DeathCount: 0.0, EscapeeCount: 20.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.00000000000001, DeathCount: 0.0, EscapeeCount: 20.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.44444444444446, DeathCount: 0.0, EscapeeCount: 20.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.66666666666667, DeathCount: 0.0, EscapeeCount: 20.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.66666666666667, DeathCount: 0.0, EscapeeCount: 20.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.66666666666667, DeathCount: 0.0, EscapeeCount: 20.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.22222222222221, DeathCount: 0.0, EscapeeCount: 21.0
